sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_rent_bikes_std,available_return_bikes,srcUpdateTime
500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28.0,10.8125,9.627867538210804,17.0625,2025-05-23 00:31:29
500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21.0,9.75,6.718134661744533,11.0,2025-05-23 00:31:29
500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28.0,14.125,5.806605434043772,13.75,2025-05-23 00:31:29
500101004,大安區,YouBike2.0_和平公園東側,25.02351,121.54282,11.0,8.5625,2.874456470360962,2.4375,2025-05-23 00:31:29
500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16.0,5.25,4.449719092257398,10.625,2025-05-23 00:31:29
500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27.0,6.0625,4.697073557013984,20.9375,2025-05-23 00:31:29
500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11.0,5.0625,4.024404717884787,5.9375,2025-05-23 00:31:29
500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17.0,10.75,4.008324670815311,6.125,2025-05-23 00:31:29
500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16.0,8.3125,4.362243306679106,7.4375,2025-05-23 00:31:29
500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20.0,6.8125,4.721846390272913,12.6875,2025-05-23 00:31:29
500101012,大安區,YouBike2.0_辛亥路一段30號前,25.01986,121.52982,8.0,4.125,1.9621416870348585,3.875,2025-05-23 00:31:29
500101013,大安區,YouBike2.0_和平復興路口西北側,25.02543,121.54332,9.0,6.75,2.5948667274704746,2.125,2025-05-23 00:31:29
500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11.0,4.1875,3.5255023282741798,6.8125,2025-05-23 00:31:29
500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19.0,7.625,4.129164564412516,11.375,2025-05-23 00:31:29
500101016,大安區,YouBike2.0_羅斯福路三段245號前,25.01927,121.52989,8.0,2.8125,1.1672617529928753,5.1875,2025-05-23 00:31:29
500101018,大安區,YouBike2.0_溫州公園,25.01895,121.53156,5.0,2.625,1.6278820596099706,2.375,2025-05-23 00:31:29
500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24.0,16.0,5.668627111861683,8.0,2025-05-23 00:31:29
