station_id,balanced,final_bikes,latitude,longitude
500108013,1,6,25.07177,121.61491
500108016,1,14,25.08395,121.60185
500108018,1,11,25.07958,121.59336
500108019,1,7,25.07864,121.59177
500108025,1,9,25.08436,121.59478
500108029,1,5,25.07695,121.58764
500108039,1,8,25.06915,121.58898
500108040,1,8,25.07007,121.62055
500108041,1,8,25.06181,121.59447
500108043,1,10,25.06256,121.58607
500108044,1,22,25.05827,121.58707
500108045,1,9,25.06058,121.5911
500108054,1,15,25.07151,121.58991
500108055,1,8,25.06877,121.59265
500108056,1,15,25.0674,121.59749
500108057,1,17,25.07249,121.60796
500108058,1,18,25.07332,121.60223
500108059,1,9,25.0733,121.59834
500108062,1,8,25.08357,121.58534
500108063,1,4,25.08165,121.58891
500108064,1,4,25.0835,121.59454
500108065,1,8,25.07896,121.59921
500108066,1,8,25.07792,121.59354
500108067,1,8,25.06657,121.6136
500108068,1,15,25.07669,121.61709
500108071,1,14,25.07334,121.61962
500108072,1,6,25.06261,121.59334
500108073,1,7,25.06209,121.60347
500108074,1,9,25.06927,121.61019
500108075,1,7,25.0716,121.60936
500108078,1,9,25.06516,121.59561
500108079,1,10,25.06708,121.60059
500108081,1,16,25.06854,121.61532
500108082,1,9,25.08373,121.59406
500108086,1,10,25.07943,121.59544
500108087,1,6,25.07567,121.6118
500108088,1,16,25.07415,121.61075
500108089,1,14,25.07514,121.60857
500108091,1,6,25.06682,121.5907
500108094,1,8,25.08105,121.59205
500108095,1,16,25.08151,121.59764
500108096,1,8,25.06851,121.59559
500108097,1,13,25.06434,121.59399
500108104,1,10,25.06007,121.60138
500108105,1,7,25.07433,121.58584
500108106,1,8,25.05928,121.58617
500108108,1,5,25.06935,121.58692
500108110,1,11,25.06664,121.61351
500108111,1,8,25.06874,121.58923
500108115,1,10,25.07038,121.60352
500108118,1,11,25.07192,121.61955
500108120,1,6,25.07823,121.5898
500108123,1,6,25.07392,121.61545
500108124,1,5,25.06671,121.58913
500108126,1,7,25.07849,121.61666
500108127,1,6,25.07539,121.6203
500108129,1,7,25.06058,121.5866
500108134,1,5,25.08416,121.59665
500108135,1,6,25.0735,121.61258
500108136,1,6,25.08227,121.5909
500108137,1,9,25.06643,121.61732
500108142,1,9,25.0721,121.60991
500108165,1,9,25.07074,121.61803
500108167,1,8,25.07983,121.59625
500108169,1,8,25.06153,121.60033
500108172,1,5,25.07862,121.58796
500108173,1,5,25.06099,121.59662
