station_id,balanced,final_bikes,latitude,longitude
500108041,1,7,25.06181,121.59447
500108104,1,9,25.06007,121.60138
500108169,0,2,25.06153,121.60033
500108173,1,8,25.06099,121.59662
500111003,0,8,25.05014,121.59238
500111012,0,1,25.04763,121.61145
500111013,0,4,25.05469,121.61669
500111014,1,28,25.04697,121.61375
500111018,1,7,25.054,121.61334
500111019,0,0,25.05933,121.61677
500111020,1,16,25.05668,121.61137
500111021,1,8,25.05629,121.607
500111022,1,12,25.05485,121.60866
500111023,1,27,25.05716,121.59792
500111024,1,14,25.05437,121.59423
500111025,1,4,25.05252,121.60922
500111026,1,7,25.05201,121.60741
500111027,1,7,25.05192,121.60642
500111028,1,8,25.05507,121.6028
500111030,1,6,25.04681,121.61703
500111031,1,15,25.04805,121.61594
500111032,1,7,25.05343,121.59945
500111033,0,1,25.05766,121.60396
500111034,1,10,25.05211,121.59839
500111035,1,9,25.05326,121.60656
500111036,1,18,25.05266,121.61275
500111037,1,8,25.05627,121.61369
500111038,0,0,25.05831,121.61422
500111041,1,8,25.05285,121.59279
500111049,1,6,25.06148,121.61384
500111050,1,9,25.05937,121.61072
500111051,1,8,25.05293,121.60549
500111053,1,13,25.06164,121.61267
500111055,1,11,25.05853,121.60983
500111056,0,1,25.05436,121.6181
500111057,1,11,25.05172,121.61686
500111059,1,14,25.05705,121.59265
500111060,1,16,25.0582,121.59368
500111061,0,0,25.05465,121.6185
500111062,1,12,25.05535,121.61838
500111066,1,5,25.0483,121.59425
500111067,1,11,25.05368,121.59969
500111068,1,8,25.05225,121.60766
500111069,1,15,25.05343,121.60633
500111076,1,6,25.05545,121.61646
500111079,0,0,25.05066,121.59431
500111085,1,6,25.05296,121.61713
500111088,0,1,25.05163,121.59535
500111089,1,14,25.05486,121.5944
500111090,1,5,25.04997,121.6162
500111091,1,8,25.05801,121.60674
500111096,1,9,25.05469,121.60381
500111097,0,1,25.06043,121.61498
500111113,1,9,25.058,121.62189
500111114,1,9,25.05124,121.59361
500111115,1,6,25.05156,121.6014
500111116,1,12,25.05216,121.60338
500111117,1,11,25.04857,121.59401
500111118,1,9,25.0614,121.61795
500111119,1,12,25.05791,121.61704
500111120,0,2,25.0586,121.61973
500111121,0,3,25.06148,121.61698
