station_id,balanced,final_bikes,latitude,longitude
500111003,1,20,25.05014,121.59238
500111004,1,24,25.04919,121.58832
500111012,1,13,25.04763,121.61145
500111013,1,23,25.05469,121.61669
500111014,1,12,25.04697,121.61375
500111018,1,6,25.054,121.61334
500111020,1,13,25.05668,121.61137
500111021,1,8,25.05629,121.607
500111022,1,14,25.05485,121.60866
500111024,1,14,25.05437,121.59423
500111025,1,4,25.05252,121.60922
500111026,1,7,25.05201,121.60741
500111027,1,7,25.05192,121.60642
500111028,1,14,25.05507,121.6028
500111030,1,8,25.04681,121.61703
500111031,1,15,25.04805,121.61594
500111032,1,9,25.05343,121.59945
500111034,1,11,25.05211,121.59839
500111035,1,9,25.05326,121.60656
500111036,1,10,25.05266,121.61275
500111037,1,8,25.05627,121.61369
500111040,1,11,25.0521,121.59053
500111041,1,11,25.05285,121.59279
500111043,1,8,25.05289,121.58599
500111051,1,9,25.05293,121.60549
500111056,1,13,25.05436,121.6181
500111057,1,6,25.05172,121.61686
500111061,1,8,25.05465,121.6185
500111062,1,12,25.05535,121.61838
500111063,1,6,25.04675,121.58731
500111066,1,6,25.0483,121.59425
500111067,1,9,25.05368,121.59969
500111068,1,12,25.05225,121.60766
500111069,1,15,25.05343,121.60633
500111074,1,9,25.05543,121.5892
500111076,1,6,25.05545,121.61646
500111078,1,7,25.05394,121.59124
500111079,1,9,25.05066,121.59431
500111080,1,8,25.04916,121.58906
500111082,1,4,25.05457,121.58781
500111083,1,6,25.05381,121.58638
500111084,1,9,25.0488,121.58742
500111085,1,4,25.05296,121.61713
500111086,1,5,25.04728,121.58605
500111088,1,10,25.05163,121.59535
500111089,1,8,25.05486,121.5944
500111090,1,8,25.04997,121.6162
500111096,1,10,25.05469,121.60381
500111114,1,9,25.05124,121.59361
500111115,1,6,25.05156,121.6014
500111116,1,12,25.05216,121.60338
500111117,1,9,25.04857,121.59401
500111123,1,9,25.05312,121.58928
