station_id,balanced,final_bikes,latitude,longitude
500111003,1,28,25.05014,121.59238
500111013,1,36,25.05469,121.61669
500111019,0,14,25.05933,121.61677
500111025,1,4,25.05252,121.60922
500111026,1,7,25.05201,121.60741
500111027,0,2,25.05192,121.60642
500111056,0,10,25.05436,121.6181
500111061,1,12,25.05465,121.6185
500111062,0,3,25.05535,121.61838
500111068,1,16,25.05225,121.60766
500111069,1,18,25.05343,121.60633
500111076,0,0,25.05545,121.61646
500111079,0,1,25.05066,121.59431
500111097,0,28,25.06043,121.61498
500101001,0,23,25.02605,121.5436
500101002,0,16,25.02565,121.54357
500101003,0,3,25.02429,121.54124
500101004,0,8,25.02351,121.54282
500101005,1,11,25.02153,121.54299
500101006,1,18,25.02429,121.54328
500101007,0,0,25.02253,121.54326
500101008,0,17,25.02112,121.53407
500101009,1,9,25.01976,121.53384
500101010,1,8,25.01894,121.53361
500101012,0,8,25.01986,121.52982
500101013,0,2,25.02543,121.54332
500101014,0,9,25.01717,121.53202
500101015,1,13,25.02089,121.54697
500101016,1,4,25.01927,121.52989
500101018,1,2,25.01895,121.53156
500101019,1,13,25.024461,121.546705
500101021,0,7,25.01385,121.53549
500101022,0,16,25.01491,121.53438
500101023,1,12,25.01244,121.53661
500101024,1,22,25.01451,121.54142
500101025,0,0,25.01295,121.53973
500101026,0,0,25.01137,121.54062
500101027,0,0,25.01182,121.54165
500101028,0,20,25.01426,121.54382
500101029,1,8,25.01234,121.54503
500101030,0,8,25.0136,121.54656
500101031,0,0,25.01537,121.54698
500101032,0,0,25.01637,121.54535
500101033,0,5,25.01664,121.5452
500101034,0,2,25.01576,121.54291
500101035,1,8,25.01787,121.5476
500101036,1,9,25.02032,121.54497
500101037,0,0,25.02076,121.54432
500101038,0,5,25.02101,121.54284
500101039,0,22,25.02104,121.54081
500101040,0,19,25.0222,121.53626
500101041,0,2,25.02218,121.53474
500101042,0,3,25.01727,121.54471
500101091,0,6,25.022864,121.546622
500101092,0,6,25.021641,121.54704
500101093,0,6,25.021469,121.544069
500101094,1,13,25.02193,121.53165
500101095,1,12,25.0189,121.55013
500101097,0,32,25.01856,121.55558
500101098,0,7,25.01623,121.55037
500101099,1,21,25.021,121.55211
500101100,1,34,25.0181,121.55929
500101101,1,36,25.02397,121.55266
500101102,0,6,25.02705,121.55551
500101103,1,16,25.02694,121.55325
500101104,1,12,25.02021,121.52942
500101105,1,19,25.02669,121.52529
500101107,0,30,25.02638,121.52971
500101108,1,12,25.02621,121.53171
500101109,0,3,25.0266,121.52973
500101110,1,38,25.0276,121.52217
500101113,1,28,25.02895,121.5379
500101114,0,9,25.02657,121.53515
500101115,0,39,25.02606,121.53738
500101116,1,14,25.02984,121.53107
500101118,1,5,25.03519,121.5245
500101119,0,1,25.03325,121.52436
500101120,0,3,25.03164,121.52661
500101122,0,4,25.0237,121.54899
500101123,1,14,25.02215,121.54839
500101124,0,3,25.02721,121.54988
500101125,0,6,25.02952,121.55406
500101126,1,16,25.02931,121.55721
500101127,0,2,25.04177,121.53833
500101128,1,18,25.04003,121.53299
500101129,0,21,25.03753,121.53523
500101130,0,14,25.03534,121.5354
500101131,0,9,25.03701,121.54348
500101132,0,6,25.03935,121.53828
500101133,1,21,25.04035,121.5436
500101134,0,1,25.0332,121.5439
500101135,0,4,25.03358,121.54141
500101136,0,4,25.03317,121.54639
500101137,0,58,25.04092,121.54825
500101138,1,21,25.03754,121.55285
500101139,0,4,25.03333,121.54977
500101140,0,6,25.03706,121.55166
500101141,1,14,25.03304,121.55171
500101142,1,20,25.04463,121.53665
500101143,0,2,25.04448,121.53946
500101144,0,52,25.03332,121.53435
500101145,0,1,25.03318,121.55725
500101146,1,8,25.03513,121.5561
500101147,1,13,25.0391,121.5569
500101148,0,8,25.03635,121.53833
500101149,0,0,25.04091,121.53295
500101150,0,6,25.04239,121.53324
500101151,1,7,25.03126,121.54339
500101152,0,3,25.04189,121.53376
500101153,1,12,25.04201,121.54612
500101154,1,10,25.04405,121.5486
500101155,1,7,25.03336,121.5364
500101156,0,45,25.0328,121.53746
500101157,0,0,25.03569,121.5451
500101158,0,0,25.03473,121.54767
500101159,1,18,25.04253,121.54407
500101160,1,7,25.04153,121.5524
500101161,1,12,25.04159,121.54937
500101162,1,8,25.04427,121.55291
500101163,1,10,25.02979,121.54053
500101165,0,17,25.0277,121.55132
500101166,1,26,25.02472,121.54417
500101167,0,5,25.04122,121.55745
500101168,0,2,25.03756,121.54587
500101169,1,22,25.03305,121.55378
500101170,1,24,25.02681,121.54668
500101171,1,17,25.03748,121.55564
500101172,1,18,25.03331,121.55265
500101173,0,7,25.0287,121.54904
500101174,0,41,25.02861,121.54336
500101175,0,1,25.02575,121.5377
500101176,1,8,25.01223,121.54788
500101177,1,5,25.04311,121.54313
500101179,1,9,25.03363,121.52962
500101180,0,1,25.03597,121.54693
500101181,0,99,25.01551,121.53374
500101182,0,5,25.04196,121.53653
500101184,0,14,25.01744,121.53334
500101185,0,0,25.02267,121.5341
500101186,1,9,25.03479,121.54376
500101187,0,11,25.01783,121.55224
500101188,0,4,25.01727,121.54904
500101189,0,0,25.02039,121.54853
500101190,1,8,25.02347,121.54108
500101191,1,10,25.02054,121.54561
500101192,0,10,25.02444,121.54908
500101193,1,24,25.01705,121.54435
500101194,0,4,25.03762,121.55009
500101196,0,24,25.04464,121.54944
500101197,1,7,25.04172,121.54541
500101198,1,9,25.04472,121.54401
500101199,1,6,25.02604,121.534
500101200,0,12,25.02535,121.55101
500101201,1,11,25.03333,121.53968
500101202,0,2,25.03715,121.54936
500101203,1,19,25.02709,121.54902
500101204,0,7,25.0371,121.54839
500101205,1,13,25.02821,121.54864
500101206,1,18,25.03328,121.5425
500101207,1,23,25.02055,121.52855
500101208,0,15,25.03459,121.55164
500101209,1,24,25.02101,121.54153
500101210,1,18,25.03002,121.54893
500101211,1,10,25.03054,121.52466
500101212,1,13,25.04205,121.55657
500101213,0,1,25.0401,121.54122
500101214,1,8,25.03827,121.54802
500101215,0,15,25.02974,121.55146
500101216,1,12,25.02268,121.53608
500101217,0,19,25.03303,121.54372
500101218,1,14,25.02832,121.55592
500101219,0,4,25.01027,121.53998
